name,speciality,hospital,city,img,slug,timestamp
dr. Andi Purnomo,Dokter Umum,RS Gading Pluit,"Kelapa Gading, Jakarta Utara",,dokter-umum,2025-06-15 02:50:06
dr. Andi Sitti Tandina,Dokter Umum,RS Harapan Bunda Jakarta,"Ciracas, Jakarta Timur",,dokter-umum,2025-06-15 02:50:06
Dr. Andra Naufal Pramanda Sp. J,Dokter Umum,RSU Fikri Medika,"Klari, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:06
dr. Andre Nicholas L. Tobing,Dokter Umum,Siloam Hospitals Mampang,"Pancoran, Jakarta Selatan",,dokter-umum,2025-06-15 02:50:08
dr. Andrear Budi Wijaya,Dokter Umum,RSIA Melati Children Hospital,"Klojen, Kota Malang",,dokter-umum,2025-06-15 02:50:08
dr. Andreas Hans,Dokter Umum,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",,dokter-umum,2025-06-15 02:50:08
dr. Andri A. Rahman,Dokter Umum,RS Mulyasari Jakarta,"Koja, Jakarta Utara",,dokter-umum,2025-06-15 02:50:08
Dr. Andri Heryanto,Dokter Umum,Klinik Berkah Puri Nirwana,"Karangbahagia, Kabupaten Bekasi",,dokter-umum,2025-06-15 02:50:08
Dr. Andy Faisal,Dokter Umum,Siloam Hospitals Bekasi Timur,"Bekasi Timur, Bekasi",,dokter-umum,2025-06-15 02:50:08
Dr. Angela Sondang Rotua,Dokter Umum,Klinik Melviana,"Bekasi Timur, Bekasi",,dokter-umum,2025-06-15 02:50:08
dr Angga Osti Swasono,Dokter Umum,RS Arafah Anwar Medika,"Sukodono, Kabupaten Sidoarjo",,dokter-umum,2025-06-15 02:50:08
dr. Anita Anggitia P,Dokter Umum,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",,dokter-umum,2025-06-15 02:50:08
dr. Anna Octaviana,Dokter Umum,Klinik Bhakti Medika,"Cikampek, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:08
dr. Anna Yelly,Dokter Umum,Siloam Hospitals Sentosa Bekasi,"Bekasi Timur, Bekasi",,dokter-umum,2025-06-15 02:50:11
dr. Annisa Aurum Mahardika,Dokter Umum,RS Cahya Kawaluyan,"Padalarang, Kabupaten Bandung Barat",,dokter-umum,2025-06-15 02:50:11
dr Annisa Rieko Miranti,Dokter Umum,RS Buah Hati Ciputat,"Ciputat, Tangerang Selatan",,dokter-umum,2025-06-15 02:50:11
dr. Anthony M. Veres,Dokter Umum,RS Delta Surya,"Sidoarjo, Kabupaten Sidoarjo",,dokter-umum,2025-06-15 02:50:11
dr. Anthony Yuwono,Dokter Umum,RS Gading Pluit,"Kelapa Gading, Jakarta Utara",,dokter-umum,2025-06-15 02:50:11
dr. Antonio August,Dokter Umum,Siloam Hospitals Bekasi Sepanjang Jaya,"Rawalumbu, Bekasi",,dokter-umum,2025-06-15 02:50:11
dr. Antonio August Indra Tjiamwarna,Dokter Umum,Siloam Hospitals Bekasi Sepanjang Jaya,"Rawalumbu, Bekasi",,dokter-umum,2025-06-15 02:50:11
dr. Antonius Wahyudi,Dokter Umum,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dokter-umum,2025-06-15 02:50:11
