name,speciality,hospital,city,img,slug,timestamp
dr Etty Budiasni Sp. M,Sp. Mata,RS Bayukarta,"Karawang Barat, Kabupaten Karawang",,ophthalmologist,2025-06-15 09:10:37
dr. Fajri Wevqi Matoka Sp.M,Sp. Mata,Klinik Mata SMEC Gorontalo,"Kota Timur, Kota Gorontalo",,ophthalmologist,2025-06-15 09:10:37
"dr. Faneisha, Sp.M",Sp. Mata,RS Mitra Keluarga Kalideres,"Kalideres, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/835674_14-12-2022_13-36-30.jpeg,ophthalmologist,2025-06-15 09:10:37
dr Fardiriva Hamzah,Sp. Mata,RS Mata JEC Primasana Tj. Priok,"Tanjung Priok, Jakarta Utara",,ophthalmologist,2025-06-15 09:10:37
dr. Farida Selviana Sp. M,Sp. Mata,RS Indriati Baru Sukoharjo,"Grogol, Kab Sukoharjo",,ophthalmologist,2025-06-15 09:10:37
"dr. Ferdian Yanuar, Sp.M",Sp. Mata,RS Ananda Bekasi,"Medan Satria, Bekasi",,ophthalmologist,2025-06-15 09:10:37
dr. Franciscus Sp.M,Sp. Mata,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",,ophthalmologist,2025-06-15 09:10:40
"dr. Gatot Soehartono, Sp.M (K)",Sp. Mata,RS Mitra Keluarga Surabaya,"Sukomanunggal, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/890340_21-12-2022_15-45-59.jpeg,ophthalmologist,2025-06-15 09:10:40
Dr. Gede Pardiantho Sp.M(K),Sp. Mata,RS Mata SMEC Medan,"Medan Petisah, Kota Medan",,ophthalmologist,2025-06-15 09:10:40
dr. Grando Setiawan Sp.M,Sp. Mata,Siloam Hospitals Bogor,"Bogor Tengah, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/857807_30-6-2022_17-3-23.jpeg,ophthalmologist,2025-06-15 09:10:40
Dr. Gusti G. Suardana Sp.M,Sp. Mata,Klinik Utama Mata JEC Bekasi,"Medan Satria, Bekasi",,ophthalmologist,2025-06-15 09:10:40
"Dr. Gusti G. Suardana, Sp.M",Sp. Mata,Klinik Utama Mata JEC Bekasi,"Medan Satria, Bekasi",,ophthalmologist,2025-06-15 09:10:40
Dr. Gusti Gede Suardana SpM (K),Sp. Mata,Klinik Utama Mata JEC Bekasi,"Medan Satria, Bekasi",,ophthalmologist,2025-06-15 09:10:40
"dr. H. A.K Ansyori, Sp.M",Sp. Mata,RS Sriwijaya Palembang,"Ilir Timur I, Kota Palembang",,ophthalmologist,2025-06-15 09:10:40
dr. H. Harka Prasetya Sp.M(K),Sp. Mata,RS Telogorejo,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:40
"dr. Hani Faradis, Sp.M",Sp. Mata,RS Islam Jemursari Surabaya,"Wonocolo, Kota Surabaya",,ophthalmologist,2025-06-15 09:10:40
dr. Hasmaeinah B Roesad Sp.M,Sp. Mata,Charitas Hospital Palembang,"Ilir Timur I, Kota Palembang",,ophthalmologist,2025-06-15 09:10:44
"dr. Helini Sari Lubis, Sp.M., M.Kes",Sp. Mata,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/842149_19-5-2021_22-21-15.jpeg,ophthalmologist,2025-06-15 09:10:44
dr Henry Warouw Sp M,Sp. Mata,Mata Nusantara (KMN Eyecare) Semarang,"Semarang Tengah, Kota Semarang",,ophthalmologist,2025-06-15 09:10:44
dr. Henu Hadiyantama Sp.M,Sp. Mata,Klinik Utama SMEC Kudus,"Bae, Kabupaten Kudus",,ophthalmologist,2025-06-15 09:10:44
"dr Herman Nur, SpM",Sp. Mata,RS Citra Medika Depok,"Cilodong, Depok",,ophthalmologist,2025-06-15 09:10:44
"dr. Hidajat Nerviadi Iksan, Sp.M",Sp. Mata,Mayapada Hospital Bogor,"Bogor Timur, Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/311463_13-12-2022_10-51-19.png,ophthalmologist,2025-06-15 09:10:44
"dr. Hielda Afpa Koeswara, Sp.M",Sp. Mata,Siloam Hospitals Kelapa Dua,"Kelapa Dua, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/483172_29-11-2022_16-27-51.jpeg,ophthalmologist,2025-06-15 09:10:44
IRMA FERRY LESMANA DR. SP M,Sp. Mata,RS Adi Husada Kapasari,"Simokerto, Kota Surabaya",,ophthalmologist,2025-06-15 09:10:44
dr Idhayu Anggit W Sp. M,Sp. Mata,RS Tarumajaya Bekasi,"Tarumajaya, Kabupaten Bekasi",,ophthalmologist,2025-06-15 09:10:44
dr Idhayu Anggit W Sp.M,Sp. Mata,RS Tarumajaya Bekasi,"Tarumajaya, Kabupaten Bekasi",,ophthalmologist,2025-06-15 09:10:44
dr. Idhayu Anggit Widhasari Sp.M,Sp. Mata,Eka Hospital Bekasi,"Tarumajaya, Kabupaten Bekasi",,ophthalmologist,2025-06-15 09:10:48
"dr. Ima Yustiarini , Sp. M (K)",Sp. Mata,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/628300_15-4-2025_11-23-50.png,ophthalmologist,2025-06-15 09:10:48
"dr. Indira Silviandari, Sp.M",Sp. Mata,RS PMI Bogor,"Bogor Utara, Bogor",,ophthalmologist,2025-06-15 09:10:48
"dr. Indra Trimahayana, Sp.M",Sp. Mata,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/288570_30-12-2022_17-2-40.png,ophthalmologist,2025-06-15 09:10:48
"dr. Indriani Pujiastuti , Sp.M",Sp. Mata,RS Mitra Keluarga Kemayoran,"Kemayoran, Jakarta Pusat",https://d1ojs48v3n42tp.cloudfront.net/personnels/495017_10-7-2024_15-53-55.png,ophthalmologist,2025-06-15 09:10:48
"dr. Indriani Kartika Dewi, Sp.M",Sp. Mata,RS Mitra Keluarga Pondok Tjandra,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/739249_19-6-2024_13-45-37.jpeg,ophthalmologist,2025-06-15 09:10:48
"dr. Indrianingrum, Sp.M",Sp. Mata,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/753662_14-12-2022_14-44-17.jpeg,ophthalmologist,2025-06-15 09:10:48
"dr. Intan Ramli, Sp.M",Sp. Mata,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/408433_14-12-2022_13-59-46.jpeg,ophthalmologist,2025-06-15 09:10:48
"dr. Irfani Prajnaparamita, Sp.M",Sp. Mata,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/66375_24-7-2024_15-44-37.png,ophthalmologist,2025-06-15 09:10:48
"dr. Irma Andriany, Sp.M",Sp. Mata,Siloam Hospitals Purwakarta,"Bungursari, Kabupaten Purwakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/223167_14-12-2022_16-14-45.png,ophthalmologist,2025-06-15 09:10:48
"dr. Ita Trisnawati, Sp.M",Sp. Mata,RS Mitra Keluarga Bekasi Timur,"Bekasi Timur, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/796845_14-12-2022_15-37-44.png,ophthalmologist,2025-06-15 09:10:51
"dr. Jenny Rahmalita, Sp.M",Sp. Mata,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/261020_23-6-2022_15-58-51.jpeg,ophthalmologist,2025-06-15 09:10:51
"dr. Josiah Irma, Sp.M., MARS",Sp. Mata,Mayapada Hospital Tangerang,"Tangerang, Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/164791_28-12-2022_15-9-19.png,ophthalmologist,2025-06-15 09:10:51
"dr. Joyce Setyawati, Sp.M",Sp. Mata,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/101708_14-12-2022_14-45-43.jpeg,ophthalmologist,2025-06-15 09:10:51
"dr. Judith Evarina Crecenda, Sp.M",Sp. Mata,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/155163_21-12-2022_14-32-29.jpeg,ophthalmologist,2025-06-15 09:10:51
Dr. Julia Sp.M,Sp. Mata,RS Pusat Pertamina,"Kebayoran Baru, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:51
"dr. Julia S Adji, Sp.M",Sp. Mata,RS Pusat Pertamina,"Kebayoran Baru, Jakarta Selatan",,ophthalmologist,2025-06-15 09:10:51
"dr. Junaedi, Sp.M",Sp. Mata,Mayapada Hospital Jakarta Selatan,"Cilandak, Jakarta Selatan",https://d1ojs48v3n42tp.cloudfront.net/personnels/842510_24-6-2022_10-22-33.png,ophthalmologist,2025-06-15 09:10:51
"dr. Junely Vimala Jaury, Sp.M",Sp. Mata,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/540867_15-6-2022_16-46-41.jpeg,ophthalmologist,2025-06-15 09:10:51
"dr. Kantika Prinandita, Sp.M",Sp. Mata,RS Bina Husada,"Cibinong, Kabupaten Bogor",https://d1ojs48v3n42tp.cloudfront.net/personnels/319532_4-1-2023_14-9-21.png,ophthalmologist,2025-06-15 09:10:51
