name,speciality,hospital,city,img,slug,timestamp
dr. H. Bambang Ratio Setiyarso Sp. KK,Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:31
"dr. H. Bambang Ratio Setiyarso, Sp.KK. FINSDV.",Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:33
"dr. H. Bambang Rato Sedrayo, Sp. KK FINSDV",Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:33
"dr. H. Bambang Rato Setiyaro, Sp.KK. FINSVD",Sp. Kulit & Kelamin,RS Dewi Sri,"Karawang Barat, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:33
"dr. H. Iswani, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Tegal,"Tegal Barat, Kota Tegal",https://d1ojs48v3n42tp.cloudfront.net/personnels/221570_14-12-2022_14-31-33.png,dermato-venereologist,2025-06-15 02:03:33
dr HERYANTO SYAMSUDIN SP. KK,Sp. Kulit & Kelamin,RS Pelabuhan Jakarta Utara,"Koja, Jakarta Utara",,dermato-venereologist,2025-06-15 02:03:33
"dr. Hasnikmah Mappamasing, Sp.KK(K)., M.Kes., FINSDV",Sp. Kulit & Kelamin,Mayapada Hospital Surabaya,"Sawahan, Kota Surabaya",,dermato-venereologist,2025-06-15 02:03:33
"dr. Hendra Gunawan, Sp.KK, (K), Ph.D",Sp. Kulit & Kelamin,RS Advent Bandung,"Coblong, Kota Bandung",,dermato-venereologist,2025-06-15 02:03:33
"dr. I Ketut Darya Artana, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/71135_23-6-2022_15-26-12.jpeg,dermato-venereologist,2025-06-15 02:03:33
"dr. Icha Aisyah, M.Ked Klin., Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Mataram,"Mataram, Kota Mataram",https://d1ojs48v3n42tp.cloudfront.net/personnels/504457_24-3-2023_13-45-4.jpeg,dermato-venereologist,2025-06-15 02:03:33
"dr. Ika Fatimah Damayanti, Sp.KK., M.SC",Sp. Kulit & Kelamin,Siloam Hospitals Yogyakarta,"Gondokusuman, Kota Yogyakarta",https://d1ojs48v3n42tp.cloudfront.net/personnels/760572_22-12-2022_17-59-42.jpeg,dermato-venereologist,2025-06-15 02:03:33
"dr. Imelda Tresia Pardede, M. Gizi, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",https://d1ojs48v3n42tp.cloudfront.net/personnels/84099_13-12-2022_17-3-12.jpeg,dermato-venereologist,2025-06-15 02:03:38
"dr. Inda Astri Aryani, Sp.KK., FINSDV",Sp. Kulit & Kelamin,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/332341_28-6-2021_17-34-13.jpeg,dermato-venereologist,2025-06-15 02:03:38
dr. Indra SM Manulang Sp. DV,Sp. Kulit & Kelamin,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",,dermato-venereologist,2025-06-15 02:03:38
"dr. Indrawati Widjaja, Sp.KK, FINSDV, FAADV",Sp. Kulit & Kelamin,RS Mitra Keluarga Kelapa Gading,"Kelapa Gading, Jakarta Utara",https://d1ojs48v3n42tp.cloudfront.net/personnels/739546_14-12-2022_14-0-23.png,dermato-venereologist,2025-06-15 02:03:38
"dr. Ineke Winda Ferianasari, Sp.KK., M.Kes",Sp. Kulit & Kelamin,Siloam Hospitals Lippo Cikarang,"Cikarang Selatan, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/734528_23-6-2022_15-26-45.jpeg,dermato-venereologist,2025-06-15 02:03:38
"dr. Irma Suryani Idris, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Makassar,"Ujung Pandang, Kota Makassar",https://d1ojs48v3n42tp.cloudfront.net/personnels/467545_15-6-2022_16-41-14.jpeg,dermato-venereologist,2025-06-15 02:03:38
dr. Irvan Satyawan SpKK,Sp. Kulit & Kelamin,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",,dermato-venereologist,2025-06-15 02:03:38
dr. Irvan Satyawan SpKK,Sp. Kulit & Kelamin,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",,dermato-venereologist,2025-06-15 02:03:38
"dr. Irvan Satyawan, Sp. KK",Sp. Kulit & Kelamin,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/510844_18-4-2022_10-59-39.png,dermato-venereologist,2025-06-15 02:03:38
Dr. Ivan Daniel Banjarnahor Sp.D.V.E,Sp. Kulit & Kelamin,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/849933_12-4-2023_14-55-4.png,dermato-venereologist,2025-06-15 02:03:38
"dr. Kun Dewi Wulandari, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Pratama Jatiasih,"Jatiasih, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/238610_14-12-2022_16-25-59.jpeg,dermato-venereologist,2025-06-15 02:03:40
dr. Laksmi Duarsa Sp. KK,Sp. Kulit & Kelamin,BIMC Hospitals Kuta,"Kuta, Kabupaten Badung",https://d1ojs48v3n42tp.cloudfront.net/personnels/478886_31-10-2022_11-11-18.jpeg,dermato-venereologist,2025-06-15 02:03:40
"dr. Lia Kinasih Ayuningati, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Kenjeran,"Mulyorejo, Kota Surabaya",https://d1ojs48v3n42tp.cloudfront.net/personnels/129278_30-6-2021_9-8-14.png,dermato-venereologist,2025-06-15 02:03:40
"dr. Liem Fenny, Sp.KK",Sp. Kulit & Kelamin,RS Immanuel,"Bojongloa Kidul, Kota Bandung",https://d1ojs48v3n42tp.cloudfront.net/personnels/170795_19-5-2021_14-29-0.jpeg,dermato-venereologist,2025-06-15 02:03:40
"dr. Lorettha Wijaya, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Kebon Jeruk,"Kebon Jeruk, Jakarta Barat",https://d1ojs48v3n42tp.cloudfront.net/personnels/799762_30-6-2023_11-43-34.png,dermato-venereologist,2025-06-15 02:03:40
"dr. Lulu Dwiarti Ningtias , Sp.DV",Sp. Kulit & Kelamin,RS Mitra Keluarga Bekasi,"Bekasi Selatan, Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/461114_17-4-2025_14-39-33.jpeg,dermato-venereologist,2025-06-15 02:03:40
"dr. Lunni Gayatri, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Waru,"Waru, Kabupaten Sidoarjo",https://d1ojs48v3n42tp.cloudfront.net/personnels/43194_21-12-2022_15-42-40.jpeg,dermato-venereologist,2025-06-15 02:03:40
"dr. Lusia Dameria, Sp.KK",Sp. Kulit & Kelamin,RS Mitra Keluarga Gading Serpong,"Pagedangan, Kabupaten Tangerang",https://d1ojs48v3n42tp.cloudfront.net/personnels/515854_20-2-2020_15-20-48.jpg,dermato-venereologist,2025-06-15 02:03:40
dr Lydia Kurniasari Sp. DV,Sp. Kulit & Kelamin,RSU Fikri Medika,"Klari, Kabupaten Karawang",,dermato-venereologist,2025-06-15 02:03:40
"dr. MARIA M HERMAWAN, Sp.DVE M.Kes",Sp. Kulit & Kelamin,Lab Pramita Tasikmalaya,"Tawang, Kota Tasikmalaya",,dermato-venereologist,2025-06-15 02:03:40
"dr. Maria Leleury, Sp.DV",Sp. Kulit & Kelamin,RS Mitra Keluarga Cikarang,"Cikarang Utara, Kabupaten Bekasi",https://d1ojs48v3n42tp.cloudfront.net/personnels/317363_29-11-2022_17-36-20.jpeg,dermato-venereologist,2025-06-15 02:03:43
dr. Maria Magdalena Yustin Sumito,Sp. Kulit & Kelamin,RS Harapan Bunda Jakarta,"Ciracas, Jakarta Timur",,dermato-venereologist,2025-06-15 02:03:43
"dr. Maria Magdalena Yustin Sumito, Sp.DV",Sp. Kulit & Kelamin,RS Harapan Bunda Jakarta,"Ciracas, Jakarta Timur",,dermato-venereologist,2025-06-15 02:03:43
"dr. Marselia Alkadri, Sp.KK",Sp. Kulit & Kelamin,Siloam Hospitals Sriwijaya Palembang,"Ilir Barat I, Kota Palembang",https://d1ojs48v3n42tp.cloudfront.net/personnels/245546_28-6-2021_9-36-24.png,dermato-venereologist,2025-06-15 02:03:43
